File Name	Game Title	Game ID	Bytes	Amount	Size	Checksum	MD5	Zip	Started	Finished	Taken
setup_silverfall_gold_edition_1.50_(41166)-1.bin	Silverfall: Complete	1284627191	4293073406	4 Gb	pass	57cd1f47424580fc53730ecbecb804f2	pass	na	2021-11-20 12:34:46	2021-11-20 12:38:55	00:04:09
setup_silverfall_gold_edition_1.50_(41166)-2.bin	Silverfall: Complete	1284627191	4294967294	4 Gb	pass	3ced3160e24cb9e0a6cd72ab1ba6c1f3	pass	na	2021-11-20 12:38:55	2021-11-20 12:43:07	00:04:12
setup_silverfall_gold_edition_1.50_(41166)-3.bin	Silverfall: Complete	1284627191	2359550380	2.2 Gb	pass	35afbfaf6870b75a243a16235ca6ab79	pass	na	2021-11-20 12:43:07	2021-11-20 12:45:30	00:02:23
setup_silverfall_gold_edition_1.50_(41166).exe	Silverfall: Complete	1284627191	1900936	2 Mb	pass	471bcdc3f1ca6e7ada02643911d6e3b1	pass	na	2021-11-20 12:45:30	2021-11-20 12:45:30	00:00:00
setup_the_surge_2_1.40405.1_(64bit)_(36274)-1.bin	The Surge 2	1825987761	4293860350	4 Gb	pass	72ff8c9802fa3486e7a3e581a5560820	pass	na	2021-11-22 14:57:09	2021-11-22 15:01:21	00:04:12
setup_the_surge_2_1.40405.1_(64bit)_(36274)-2.bin	The Surge 2	1825987761	4294967294	4 Gb	pass	f05219634b300e31471cc40e1e05d9d1	pass	na	2021-11-22 15:01:21	2021-11-22 15:05:17	00:03:56
setup_the_surge_2_1.40405.1_(64bit)_(36274)-3.bin	The Surge 2	1825987761	4294967294	4 Gb	pass	248b6fe5223ae1f8d60bdb66c9a5032d	pass	na	2021-11-22 15:05:17	2021-11-22 15:09:27	00:04:10
setup_the_surge_2_1.40405.1_(64bit)_(36274)-4.bin	The Surge 2	1825987761	1635807757	1.52 Gb	pass	1dc41736d896a036dba1534e7d1942bd	pass	na	2021-11-22 15:09:27	2021-11-22 15:11:07	00:01:40
setup_the_surge_2_1.40405.1_(64bit)_(36274).exe	The Surge 2	1825987761	1114088	1 Mb	pass	48a7a1a73a10821972a99562fedac474	pass	na	2021-11-22 15:11:07	2021-11-22 15:11:07	00:00:00
setup_terraformers_first_steps_on_mars_v0.6.64_(51353).exe	Terraformers: First Steps on Mars	1132435802	1422272696	1.32 Gb	pass	6dd79e4736d7f9c5c28505e429944d03	pass	na	2021-11-22 18:29:20	2021-11-22 18:31:03	00:01:43
terraformers_first_steps_on_mars_v0_6_64_51512.sh	Terraformers: First Steps on Mars	1132435802	1395328292	1.3 Gb	pass	a028c9fdf56c69fa8711ed5178f8f5ad	pass	na	2021-11-22 18:31:03	2021-11-22 18:32:36	00:01:33
setup_lego_batmantm_3_beyond_gotham_1.6_(37309)-1.bin	LEGO® Batman™ 3: Beyond Gotham	1597568554	4294079998	4 Gb	pass	b726ae50b6907a8af3f0976eee028061	pass	na	2021-11-28 01:38:36	2021-11-28 01:42:43	00:04:07
setup_lego_batmantm_3_beyond_gotham_1.6_(37309)-2.bin	LEGO® Batman™ 3: Beyond Gotham	1597568554	3300393040	3.07 Gb	pass	eb349c841f585620c3dcdfbb7e940c49	pass	na	2021-11-28 01:42:43	2021-11-28 01:45:58	00:03:15
setup_lego_batmantm_3_beyond_gotham_1.6_(37309).exe	LEGO® Batman™ 3: Beyond Gotham	1597568554	894296	873 Kb	pass	56f80096c2051e85a55d4b64e2df6dd4	pass	na	2021-11-28 01:45:58	2021-11-28 01:45:59	00:00:01
setup_lego_batman_3_beyond_gotham_season_pass_1.6_(37309).exe	LEGO® Batman™ 3: Beyond Gotham	1597568554	897247728	856 Mb	pass	a60b568f467d5fe26d27ee0d9baf457e	pass	na	2021-11-28 01:45:59	2021-11-28 01:46:48	00:00:49
patch_crossroads_inn_anniversary_edition_4.0.5b_(50524)_to_4.0.5d_(51195).exe	Crossroads Inn Anniversary Edition	2037234491	105613776	101 Mb	pass	87639cd9a1640fe815daa8030b480e89	pass	na	2021-12-02 01:18:31	2021-12-02 01:18:38	00:00:07
setup_crossroads_inn_anniversary_edition_4.0.5d_(51195)-1.bin	Crossroads Inn Anniversary Edition	2037234491	4294032894	4 Gb	pass	dd23aa6cbba2a298cf11dceb62f50519	pass	na	2021-12-02 01:18:38	2021-12-02 01:23:55	00:05:17
setup_crossroads_inn_anniversary_edition_4.0.5d_(51195)-2.bin	Crossroads Inn Anniversary Edition	2037234491	3917357903	3.65 Gb	pass	e4308cecab26c4779166a2e67e640d63	pass	na	2021-12-02 01:23:55	2021-12-02 01:29:43	00:05:48
setup_crossroads_inn_anniversary_edition_4.0.5d_(51195).exe	Crossroads Inn Anniversary Edition	2037234491	940720	919 Kb	pass	fd80665e6214691ef102d3a8a5c27999	pass	na	2021-12-02 01:29:43	2021-12-02 01:29:43	00:00:00
setup_singularity_2.0.0.5-1.bin	Singularity™	1207659239	4194304000	3.91 Gb	pass	6982d89f10c7a67f1fe06dd62e7ab150	pass	na	2021-12-04 06:12:51	2021-12-04 06:17:14	00:04:23
setup_singularity_2.0.0.5-2.bin	Singularity™	1207659239	2735851497	2.55 Gb	pass	7a903f93abacec4d4684c962684ec61e	pass	na	2021-12-04 06:17:14	2021-12-04 06:20:16	00:03:02
setup_singularity_2.0.0.5.exe	Singularity™	1207659239	29550968	28 Mb	pass	ed37d3e103badf2e430127de77f24500	pass	na	2021-12-04 06:20:16	2021-12-04 06:20:18	00:00:02
